Period,London_5_eur,EUREP,STDEV,Region 1,Region 2,Region 3,EU Average Short term contracts,Region 1 Short term contracts,Region 2 Short term contracts,Region 3 Short term contracts,EU Average (weights),Region 1 (weights),Region 2 (weights),Region 3 (weights),EU Average Short term contracts (weights),Region 1 Short term contracts (weights),Region 2 Short term contracts (weights),Region 3 Short term contracts (weights),,,EU reported prices (to Nov 22)
01/05/2013,€ 495.26,€ 725.00,€ 42.00,,,,,,,,,,,,,,,,,,
01/04/2013,€ 507.05,€ 730.00,€ 41.00,,,,,,,,,,,,,,,,,,
01/03/2013,€ 520.40,€ 726.00,€ 44.00,,,,,,,,,,,,,,,,,,
01/02/2013,€ 513.45,€ 724.00,€ 44.00,,,,,,,,,,,,,,,,,,
01/01/2013,€ 524.15,€ 738.00,€ 35.00,,,,,,,,,,,,,,,,,,
01/12/2012,€ 533.15,€ 724.00,€ 54.00,,,,,,,,,,,,,,,,,,
01/11/2012,€ 529.67,€ 728.00,€ 34.00,,,,,,,,,,,,,,,,,,
01/10/2012,€ 554.23,€ 720.00,€ 53.00,,,,,,,,,,,,,,,,,,
01/09/2012,€ 557.16,€ 708.00,€ 54.00,,,,,,,,,,,,,,,,,,
01/08/2012,€ 564.08,€ 713.00,€ 52.00,,,,,,,,,,,,,,,,,,
01/07/2012,€ 600.09,€ 709.00,€ 50.00,,,,,,,,,,,,,,,,,,
01/06/2012,€ 559.83,€ 706.00,€ 43.00,,,,,,,,,,,,,,,,,,
01/05/2012,€ 566.92,€ 711.00,€ 47.00,,,,,,,,,,,,,,,,,,
01/04/2012,€ 604.05,€ 715.00,€ 52.00,,,,,,,,,,,,,,,,,,
01/03/2012,€ 625.62,€ 710.00,€ 50.00,,,,,,,,,,,,,,,,,,
01/02/2012,€ 620.71,€ 699.00,€ 49.00,,,,,,,,,,,,,,,,,,
01/01/2012,€ 608.65,€ 683.00,€ 74.00,,,,,,,,,,,,,,,,,,
01/12/2011,€ 598.42,€ 654.00,€ 60.00,,,,,,,,,,,,,,,,,,
01/11/2011,€ 619.63,€ 645.00,€ 65.00,,,,,,,,,,,,,,,,,,
01/10/2011,€ 645.35,€ 633.00,€ 72.00,,,,,,,,,,,,,,,,,,
01/09/2011,€ 655.26,€ 572.00,€ 74.00,,,,,,,,,,,,,,,,,,
01/08/2011,€ 674.07,€ 564.00,€ 85.00,,,,,,,,,,,,,,,,,,
01/07/2011,€ 691.29,€ 548.00,€ 65.00,,,,,,,,,,,,,,,,,,
01/06/2011,€ 633.00,€ 538.00,€ 70.00,,,,,,,,,,,,,,,,,,
01/05/2011,€ 580.73,€ 536.00,€ 74.00,,,,,,,,,,,,,,,,,,
01/04/2011,€ 619.14,€ 529.00,€ 63.00,,,,,,,,,,,,,,,,,,
01/03/2011,€ 633.64,€ 517.00,€ 57.00,,,,,,,,,,,,,,,,,,
01/02/2011,€ 658.66,€ 505.00,€ 48.00,,,,,,,,,,,,,,,,,,
01/01/2011,€ 668.24,€ 498.00,€ 36.00,,,,,,,,,,,,,,,,,,
01/12/2010,€ 629.23,€ 486.00,€ 30.00,,,,,,,,,,,,,,,,,,
01/11/2010,€ 618.47,€ 486.00,€ 26.00,,,,,,,,,,,,,,,,,,
01/10/2010,€ 594.02,€ 485.00,€ 26.00,,,,,,,,,,,,,,,,,,
01/09/2010,€ 538.86,€ 485.00,€ 26.00,,,,,,,,,,,,,,,,,,
01/08/2010,€ 487.44,€ 479.00,€ 23.00,,,,,,,,,,,,,,,,,,
01/07/2010,€ 484.70,€ 478.00,€ 24.00,,,,,,,,,,,,,,,,,,
