LAST UPDATE,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,coicop_description,hicp_201710.OBS_VALUE
18/08/2023 11:00,I05,CP00,AT,01/05/2019,130.24,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/06/2019,130.15,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/07/2019,129.12,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/08/2019,129.21,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/09/2019,130.52,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/10/2019,130.89,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/11/2019,131.13,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/12/2019,132.07,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/01/2020,131.12,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/02/2020,131.13,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/03/2020,131.83,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/04/2020,132.14,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/05/2020,131,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/06/2020,131.54,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/07/2020,131.39,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/08/2020,131,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/09/2020,132.05,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/10/2020,132.36,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/11/2020,132.6,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/12/2020,133.41,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/01/2021,132.5,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/02/2021,132.93,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/03/2021,134.49,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/04/2021,134.67,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/05/2021,134.93,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/06/2021,135.22,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/07/2021,135.09,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/08/2021,135.15,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/09/2021,136.37,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/10/2021,137.33,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/11/2021,138.06,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/12/2021,138.46,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/01/2022,138.43,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/02/2022,140.22,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/03/2022,143.38,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/04/2022,144.29,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/05/2022,145.33,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/06/2022,147.01,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/07/2022,147.83,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/08/2022,147.66,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/09/2022,151.38,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/10/2022,153.21,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/11/2022,153.47,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/12/2022,153.05,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/01/2023,154.44,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/02/2023,155.71,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/03/2023,156.6,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/04/2023,157.81,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/05/2023,158.04,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/06/2023,158.47,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/07/2023,158.18,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,BE,01/07/2006,101.71,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/08/2006,103.47,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/09/2006,102.97,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/10/2006,102.68,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/11/2006,102.9,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/12/2006,103.02,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/01/2007,101.28,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/02/2007,103.68,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/03/2007,103.68,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/04/2007,104.2,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/05/2007,104.08,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/06/2007,104.15,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/07/2007,103.05,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/08/2007,104.65,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/09/2007,104.46,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/10/2007,104.95,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/11/2007,105.84,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/12/2007,106.23,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/01/2008,104.85,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/02/2008,107.44,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/03/2008,108.22,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/04/2008,108.44,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/05/2008,109.39,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/06/2008,110.15,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/07/2008,109.13,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/08/2008,110.27,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/09/2008,110.16,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/10/2008,109.98,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/11/2008,109.26,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/12/2008,109.1,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/01/2009,107.05,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/02/2009,109.52,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/03/2009,108.91,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/04/2009,109.24,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/05/2009,109.11,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/06/2009,108.99,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/07/2009,107.23,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/08/2009,109.49,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/09/2009,109.04,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/10/2009,109.01,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/11/2009,109.22,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/12/2009,109.46,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/01/2010,107.9,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/02/2010,110.41,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/03/2010,110.98,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/04/2010,111.47,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/05/2010,111.87,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/06/2010,111.88,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/07/2010,109.85,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/08/2010,112.09,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/09/2010,112.23,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/10/2010,112.38,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/11/2010,112.52,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/12/2010,113.15,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/01/2011,111.67,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/02/2011,114.28,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/03/2011,114.68,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/04/2011,114.98,All-items HICP,126.33
