Easting,Northing,Factory,Owner,Country,Group,MegaGroup,Beet processing factory,Isoglucose factory,Factory with cane refining capacity,Beet ethanol factory,Certified organic,Liquid sugar only,Sugar cane mill
6.542133974,47.67744483,Roye,Saint Louis,France,Suedzucker,Suedzucker,1,0,0,0,0,0,0
25.93679821,43.83011307,Ruse,Litex,Bulgaria,Others,Others,0,0,1,0,0,0,0
3.122428328,49.98157172,Sainte Emilie,Vermandoise,France,CristalCo,CristalCo,1,0,0,0,0,0,0
-9.090984585,38.82162551,São João da Talha,Copam,Portugal,Others,Others,0,1,0,0,0,0,0
7.4837065,44.64983385,Saluzzo,Tereos Italy,Italy,Tereos,Tereos,1,1,0,0,0,0,0
22.25655101,61.0803,Säkylä,Sucros OY,Finland,Nordzucker,Nordzucker,1,0,0,0,0,0,0
10.30178975,44.92409372,San Quirico,Eridania Sadam,Italy,CristalCo,CristalCo,1,0,0,0,0,0,0
-9.091129388,38.83808312,Sidul,TLS Portugal,Portugal,ASR,ASR,0,0,1,0,0,0,0
10.54782874,52.024085,Schladen,Nordzucker,Germany,Nordzucker,Nordzucker,1,0,0,0,1,0,0
14.24092974,53.08886664,Schwedt,Verbio,Germany,Others,Others,0,0,0,1,0,0,0
20.08888412,45.933383,Senta,Studen,Serbia,Agrana,Suedzucker,1,0,1,0,0,0,0
17.7376318,48.27616567,Sered,Slovenske Cukrovary,Slovakia,Agrana,Suedzucker,1,0,0,0,0,0,0
23.50464577,41.09108357,Serres,HSI,Greece,HSI,Others,1,0,0,0,0,0,0
4.15312741,49.19066439,Sillery,CristalCo,France,CristalCo,CristalCo,1,0,0,0,0,0,0
-25.67948984,37.73640112,Sinaga,Sinaga,Portugal,Others,Others,0,0,0,0,0,0,0
2.72075256,48.18202993,Souppes-sur-Loing,Ouvre Fils,France,Suedzucker,Suedzucker,1,0,0,0,0,0,0
17.27855819,52.21987092,Sroda,P&L Polska,Poland,Pfeifer & Langen,Pfeifer & Langen,1,0,0,0,0,0,0
17.05273249,50.76830132,Strzelin,Sudzucker Polska,Poland,Suedzucker,Suedzucker,1,0,0,0,0,0,0
24.03853056,50.84153889,Strzyzow,Sudzucker Polska,Poland,Suedzucker,Suedzucker,1,0,0,0,0,0,0
55.63691532,-20.9149344,Sucrerie de Bois Rouge,Sucrerie de Bois Rouge,DOM,Tereos,Tereos,0,0,0,0,0,0,1
55.39702161,-21.2785154,Sucrerie du Gol,Sucrerie du Gol,DOM,Tereos,Tereos,0,0,0,0,0,0,1
16.49284362,50.84220515,Swidnica,Sudzucker Polska,Poland,Suedzucker,Suedzucker,1,0,0,0,0,0,0
18.71678421,47.0841676,Szabadegyháza,Hungrana,Hungary,Agrana,Suedzucker,1,1,0,0,0,0,0
14.98828209,41.93022107,Termoli,Molise,Italy,Pfeifer & Langen,Pfeifer & Langen,1,0,0,0,0,0,0
0.045038971,51.50028332,Thames,TLS UK,United Kingdom,ASR,ASR,0,0,1,0,0,0,0
4.948095306,50.79945973,Tienen,Tirlemont,Belgium,Suedzucker,Suedzucker,1,0,0,0,0,0,0
-5.377759419,41.51221219,Toro,Ebro,Spain,Ebro,AB Sugar,0,0,0,0,0,0,0
1.943720366,48.19568676,Toury,Toury,France,CristalCo,CristalCo,1,0,0,0,0,0,0
18.1198969,48.94069689,Trencianska Tepla,Považský cukor,Slovakia,Nordzucker,Nordzucker,1,0,0,0,0,0,0
16.04212026,48.3248477,Tulln,Agrana,Austria,Agrana,Suedzucker,1,0,0,0,0,0,0
10.54806877,52.98353399,Uelzen,Nordzucker,Germany,Nordzucker,Nordzucker,1,0,0,0,0,0,0
26.60263287,44.71612367,Urziceni,Lemarco,Romania,Lemarco,Others,0,0,1,0,0,0,0
6.488843506,53.21543957,Vierverlaten,Suiker Unie,Netherlands,Cosun,Cosun,1,0,1,0,0,0,0
17.383776,45.83341,Virovitica,Viro,Croatia,CristalCo,CristalCo,1,0,1,0,0,0,0
19.65037909,45.56636196,Vrbas,Sunoko,Serbia,Others,Others,1,0,0,0,0,0,0
17.20343568,49.50599779,Vrbatky,Cukrovar Vrbatky,Czech Republic,Cukrovar Vrbatky,Others,1,0,0,0,0,0,0
9.363379774,51.10280821,Wabern,Sudzucker,Germany,Suedzucker,Suedzucker,1,0,0,0,0,0,0
5.204697831,50.52846661,Wanze,Tirlemont,Belgium,Suedzucker,Suedzucker,1,0,0,1,0,0,0
9.166222624,51.49135455,Warburg,Sudzucker,Germany,Suedzucker,Suedzucker,1,0,0,0,0,0,0
23.77842126,50.76028096,Werbkowice,Polski Cukier,Poland,Polski Cukier,Polski Cukier,1,0,0,0,0,0,0
0.511954463,52.57079815,Wissington,British Sugar,United Kingdom,British Sugar,AB Sugar,1,0,0,1,0,0,0
20.072253,45.395792,Žabalj,HSI,Serbia,HSI,Others,1,0,0,0,0,0,0
12.11074478,51.04922082,Zeitz,Sudzucker,Germany,Suedzucker,Suedzucker,1,0,0,1,0,0,0
18.69775877,45.06873616,Zupanja,Viro,Croatia,CristalCo,CristalCo,1,0,1,0,0,0,0
14.189218,50.230075,Zvolneves,ED&F Man,Czech Republic,ED&F Man,Others,0,0,1,0,0,0,0
